Strategy,Task,MAE,RMSE,Samples
simple,Tg,0.062043413159727834,0.062043413159727834,1
simple,FFV,0.04743314731367704,0.06688208861473413,8
simple,Tc,0.08247493354775104,0.0825149845450573,2
simple,Density,0.06204341315973405,0.06204341315973405,1
simple,Rg,0.06204341315973316,0.06204341315973316,1
weighted,Tg,6.696366435221535e-05,6.696366435221535e-05,1
weighted,FFV,0.04670457827764805,0.058369483176407076,8
weighted,Tc,0.0006100983083968947,0.0008265354481178934,2
weighted,Density,0.0006795139261657202,0.0006795139261657202,1
weighted,Rg,0.00011194513496981529,0.00011194513496981529,1
stacking,Tg,0.0,0.0,1
stacking,FFV,0.015726489336700518,0.017583430487459504,8
stacking,Tc,0.005079964598305689,0.005079964598305689,2
stacking,Density,0.0,0.0,1
stacking,Rg,0.0,0.0,1
